Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
70771-1418,olanzapine,Zydus Lifesciences Limited,7.5,mg/1,Atypical Antipsychotic [EPC],$11.62,51
31722-874,"SODIUM PICOSULFATE, MAGNESIUM OXIDE AND ANHYDROUS CITRIC ACID","Camber Pharmaceuticals, Inc.",12; 3.5; 10,g/16.1g; g/16.1g; mg/16.1g,"Acidifying Activity [MoA], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulant Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",$45.04,28
69097-868,Nadolol,Cipla USA Inc.,40,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$0.52,36
33342-051,Losartan potassium and Hydrochlorothiazide,Macleods Pharmaceuticals Limited,12.5; 100,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$187.16,24
51079-375,Chlordiazepoxide Hydrochloride,Mylan Institutional Inc.,10,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$104.10,58
60760-814,Gabapentin,St Mary's Medical Park Pharmacy,300,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$29.53,52
62175-471,Paroxetine Hydrochloride,"Lannett Company, Inc.",25,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$77.24,22
0713-0883,cevimeline hydrochloride,"Cosette Pharmaceuticals, Inc.",30,mg/1,"Cholinergic Muscarinic Agonists [MoA], Cholinergic Receptor Agonist [EPC]",$119.29,27
50090-4875,Promethazine Hydrochloride,A-S Medication Solutions,25,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$46.97,30
71800-009,Diflorasone Diacetate,Innovida Pharmaceutique Corporation,0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$29.00,5
63187-896,Montelukast Sodium,Proficient Rx LP,5,mg/1,"Leukotriene Receptor Antagonist [EPC], Leukotriene Receptor Antagonists [MoA]",$104.12,13
0173-0911,daprodustat,GlaxoSmithKline LLC,6,mg/1,,$3.14,53
69097-936,LANTHANUM CARBONATE,Cipla USA Inc.,1000,mg/1,"Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",$44.31,14
50268-304,Famotidine,AvPAK,40,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",$51.86,75
65038-561,Serdexmethylphenidate and Dexmethylphenidate,"Corium, Inc",10.4; 52.3,mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$1.00,16
50699-1977,NITROGEN,Atlas Welding Supply Co Inc.,99,L/100L,,$223.38,31
71610-684,Triamterene and Hydrochlorothiazide,"Aphena Pharma Solutions - Tennessee, LLC",25; 37.5,mg/1; mg/1,"Decreased Renal K+ Excretion [PE], Increased Diuresis [PE], Increased Diuresis [PE], Potassium-sparing Diuretic [EPC], Thiazide Diuretic [EPC], Thiazides [CS]",$32.26,96
0338-0143,"Sodium Lactate, Potassium Chloride, Magnesium Chloride, Monobasic Potassium Phosphate, Sodium Chloride and Dextrose monohydrate",Baxter Healthcare Corporation,5; 31; 141; 20; 12; 260,g/100mL; mg/100mL; mg/100mL; mg/100mL; mg/100mL; mg/100mL,"Acidifying Activity [MoA], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$156.26,15
53002-8101,tretinoin,"RPK Pharmaceuticals, Inc.",0.25,mg/g,"Retinoid [EPC], Retinoids [CS]",$105.60,94
43547-367,valsartan,"Solco Healthcare US, LLC",40,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$85.64,52
0615-8367,Ciprofloxacin,"NCS HealthCare of KY, LLC dba Vangard Labs",500,mg/1,"Quinolone Antimicrobial [EPC], Quinolones [CS]",$6.71,80
47781-410,Hydrocodone Bitartrate,Alvogen Inc.,15,mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$11.58,37
43353-053,Warfarin,"Aphena Pharma Solutions - Tennessee, LLC",7.5,mg/1,"Vitamin K Antagonist [EPC], Vitamin K Inhibitors [MoA]",$169.82,86
49702-255,dolutegravir sodium,ViiV Healthcare Company,5,mg/1,"HIV Integrase Inhibitors [MoA], Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA]",$29.77,89
68875-0203,PARATHYROID HORMONE,"Takeda Pharmaceuticals America, Inc.",50,ug/.08mL,"Parathyroid Hormone [CS], Parathyroid Hormone [EPC]",$102.00,80
62332-248,Acyclovir,Alembic Pharmaceuticals Inc.,50,mg/g,"DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$94.70,34
70518-2550,Hydrochlorothiazide,REMEDYREPACK INC.,12.5,mg/1,"Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$130.76,24
16714-609,cyanocobalamin,Northstar Rx LLC.,1000,ug/mL,"Vitamin B 12 [CS], Vitamin B12 [EPC]",$67.49,52
72789-227,Hydrocortisone,"PD-Rx Pharmaceuticals, Inc.",5,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$120.84,87
68462-406,Indomethacin,"Glenmark Pharmaceuticals Inc., USA",25,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$103.46,39
0395-2775,Iodine and potassium iodide,"Humco Holding Group, Inc.",50; 100,mg/mL; mg/mL,,$56.43,57
43063-497,Cephalexin,"PD-Rx Pharmaceuticals, Inc.",250,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$136.90,81
60760-311,Fluoxetine Hydrochloride,St. Mary's Medical Park Pharmacy,20,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$5.27,56
72205-011,Pregabalin,Novadoz Pharmaceuticals LLC,25,mg/1,,$40.96,78
51862-611,Methylphenidate Hydrochloride,Mayne Pharma,30,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$44.03,63
43353-128,Metformin Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",1000,mg/1,"Biguanide [EPC], Biguanides [CS]",$3.18,44
0085-1133,Interferon alfa-2b,Merck Sharp & Dohme LLC,19.2,ug/.5mL,"Interferon alpha [EPC], Interferon-alpha [CS], Interferon-alpha [CS]",$40.80,87
67296-1500,Alendronate sodium,"RedPharm Drug, Inc",70,mg/1,"Bisphosphonate [EPC], Diphosphonates [CS]",$1.33,92
0115-1736,Methylphenidate Hydrochloride,Amneal Pharmaceuticals of New York LLC,10,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$91.79,61
51662-1395,LIDOCAINE HCI AND EPINEPHRINE,"HF Acquisition Co LLC, DBA HealthFirst",10; 10,ug/mL; mg/mL,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Agonists [MoA], Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Catecholamine [EPC], Catecholamines [CS], Local Anesthesia [PE], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Agonist [EPC]",$174.96,25
55289-993,Atenolol and Chlorthalidone,"PD-Rx Pharmaceuticals, Inc.",50; 25,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA], Increased Diuresis [PE], Thiazide-like Diuretic [EPC], beta-Adrenergic Blocker [EPC]",$132.08,84
0338-3508,Cefazolin Sodium,Baxter Healthcare Corporation,2,g/100mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$23.13,19
39822-0412,Tobramycin,"XGen Pharmaceuticals DJB, Inc.",1.2,g/30mL,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",$100.99,82
40032-770,Flucytosine,"Novel Laboratories, Inc.",500,mg/1,"Nucleoside Analog Antifungal [EPC], Nucleoside Analog [EXT]",$77.97,82
42195-550,CIPROFLOXACIN,"Xspire Pharma, Llc",0.5,mg/.25mL,"Quinolone Antimicrobial [EPC], Quinolones [CS]",$74.18,52
16714-228,Carvedilol Phosphate,NorthStar RxLLC,20,mg/1,"Adrenergic alpha-Antagonists [MoA], Adrenergic beta1-Antagonists [MoA], Adrenergic beta2-Antagonists [MoA], alpha-Adrenergic Blocker [EPC], beta-Adrenergic Blocker [EPC]",$58.00,5
65841-760,Omeprazole,Zydus Lifesciences Limited,20,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$71.26,17
82982-033,Ibuprofen,"Pharmasource Meds, LLC",800,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$16.55,63
23155-531,calcium acetate,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,667,mg/1,"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE]",$67.50,76
76420-251,Ondansetron,"Asclemed USA, Inc.",8,mg/1,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$47.21,70
68084-947,Quinine Sulfate,American Health Packaging,324,mg/1,Antimalarial [EPC],$91.72,23
71335-0905,Rosuvastatin Calcium,Bryant Ranch Prepack,20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$37.03,32
59365-6061,"mepivacaine hydrochloride, lidocaine hydrochloride, epinephrine bitartrate, iodine, potassium iodide, ferric subsulfate","CooperSurgical, Inc.",,,,$170.91,3
0781-6172,desflurane,Sandoz Inc.,240,mL/240mL,"General Anesthesia [PE], General Anesthetic [EPC]",$23.84,40
68180-947,Betamethasone dipropionate,"Lupin Pharmaceuticals, Inc.",0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$13.44,93
71205-075,Enalapril Maleate,Proficient Rx LP,10,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",$74.71,8
67544-097,Glipizide,"Aphena Pharma Solutions - Tennessee, LLC",10,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$9.71,49
52817-720,APOMORPHINE HYDROCHLORIDE,"TruPharma, LLC",30,mg/3mL,"Dopamine Agonists [MoA], Dopaminergic Agonist [EPC]",$44.49,71
0074-2340,Ritonavir,AbbVie Inc.,100,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 3A Inhibitor [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], HIV Protease Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Protease Inhibitor [EPC], UDP Glucuronosyltransferases Inducers [MoA]",$59.09,7
16729-234,ropinirole,Accord Healthcare Inc.,1,mg/1,"Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]",$37.54,94
71335-1547,Irbesartan,Bryant Ranch Prepack,75,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$82.06,69
69097-533,Tenofovir disoproxil fumarate,Cipla USA Inc.,300,mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleosides [CS]",$150.64,99
43547-394,glimepiride,"Solco Healthcare U.S., LLC",1,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$7.03,97
65145-102,Glycopyrrolate,Caplin Steriles Limited,0.2,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$24.70,2
71335-1903,Aripiprazole,Bryant Ranch Prepack,10,mg/1,Atypical Antipsychotic [EPC],$81.23,57
68788-8285,Famotidine,Preferred Pharmaceuticals Inc.,40,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",$0.98,84
61919-309,LISINOPRIL AND HYDROCHLOROTHIAZIDE,DIRECT RX,25; 20,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$80.80,38
0517-9305,Trace Elements Injection 4,"American Regent, Inc.",.3; 55; 60; 3,mg/mL; ug/mL; ug/mL; mg/mL,"Copper Absorption Inhibitor [EPC], Decreased Copper Ion Absorption [PE], Magnetic Resonance Contrast Activity [MoA], Paramagnetic Contrast Agent [EPC]",$139.45,83
64980-202,Bupropion Hydrochloride,"Rising Pharmaceuticals, Inc.",100,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$78.27,52
76204-010,Albuterol Sulfate,"Ritedose Pharmaceuticals, LLC",0.63,mg/3mL,"Adrenergic beta2-Agonists [MoA], beta2-Adrenergic Agonist [EPC]",$89.44,97
69097-870,lanreotide acetate,Cipla USA Inc.,120,mg/.5mL,"Somatostatin Analog [EPC], Somatostatin Receptor Agonists [MoA]",$0.70,56
70771-1465,Amlodipine and atorvastatin,Zydus Lifesciences Limited,10; 20,mg/1; mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$81.61,84
0074-7034,Risankizumab-rzaa,AbbVie Inc.,,,,$43.12,27
66794-243,ampicillin and sulbactam,Piramal Critical Care Inc,100; 50,mg/mL; mg/mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$1.75,35
72205-208,lurasidone hydrochloride,Novadoz Pharmaceuticals LLC,40,mg/1,Atypical Antipsychotic [EPC],$122.85,27
62332-205,Amlodipine and Valsartan,Alembic Pharmaceuticals Inc.,5; 160,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$38.85,69
70518-1346,celecoxib,REMEDYREPACK INC.,200,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$93.49,79
59353-403,Methoxy polyethylene glycol-epoetin beta,Vifor (International) Inc.,100,ug/.3mL,"Erythropoiesis-stimulating Agent [EPC], Erythropoietin [CS], Increased Erythroid Cell Production [PE]",$13.09,31
71335-1481,Hydrochlorothiazide,Bryant Ranch Prepack,25,mg/1,"Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$38.80,94
69097-975,Meprobamate,Cipla USA Inc.,400,mg/1,,$103.90,79
50090-5553,Tamsulosin Hydrochloride,A-S Medication Solutions,0.4,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$137.67,71
0264-5802,SODIUM CHLORIDE,B. Braun Medical Inc.,0.9,g/100mL,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC]",$25.59,24
55111-556,Decitabine,Dr.Reddy's Laboratories Limited,50,mg/10mL,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$60.46,37
57664-609,Methylphenidate Hydrochloride,"Sun Pharmaceutical Industries, Inc.",54,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$75.21,95
76420-258,methocarbamol,"Asclemed USA, Inc.",750,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$206.80,30
68180-302,cefuroxime axetil,"Lupin Pharmaceuticals, Inc.",250,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$32.61,89
68382-297,amiodarone hydrochloride,Zydus Pharmaceuticals USA Inc.,100,mg/1,"Antiarrhythmic [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$26.59,70
51655-995,Lisinopril,Northwind Pharmaceuticals,10,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$96.44,7
63629-2106,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, amphetamine sulfate ER",Bryant Ranch Prepack,3.75; 3.75; 3.75; 3.75,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$8.62,54
70934-920,Amlodipine besylate,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",2.5,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$104.41,88
42708-109,Glipizide,QPharma Inc,5,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$97.54,100
63187-833,Levofloxacin,Proficient Rx LP,750,mg/1,,$2.07,33
60505-0813,Butorphanol Tartrate,Apotex Corp.,10,mg/mL,"Competitive Opioid Antagonists [MoA], Opioid Agonist/Antagonist [EPC], Partial Opioid Agonists [MoA]",$99.45,97
0338-0076,ketorolac tromethamine,Baxter Healthcare Corporation,15,mg/2mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$156.39,13
70771-1736,Lurasidone hydrochloride,Zydus Lifesciences Limited,60,mg/1,Atypical Antipsychotic [EPC],$18.49,66
55154-3556,spironolactone,"Cardinal Health 107, LLC",25,mg/1,"Aldosterone Antagonist [EPC], Aldosterone Antagonists [MoA]",$121.03,89
63323-426,ROCURONIUM BROMIDE,"Fresenius Kabi USA, LLC",10,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE], Nondepolarizing Neuromuscular Blocker [EPC]",$9.32,4
69097-709,Phytonadione,Cipla USA Inc.,1,mg/.5mL,"Increased Prothrombin Activity [PE], Reversed Anticoagulation Activity [PE], Vitamin K [CS], Vitamin K [EPC], Warfarin Reversal Agent [EPC]",$222.66,23
69539-240,Dimethyl Fumarate,MSN LABORATORIES PRIVATE LIMITED,,,,$18.79,11
63629-4175,Morphine Sulfate,Bryant Ranch Prepack,15,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$60.82,55
51662-1542,ETOMIDATE,"HF Acquisition Co LLC, DBA HealthFirst",40,mg/20mL,"General Anesthesia [PE], General Anesthetic [EPC]",$85.37,53
50493-0001,Oxygen,Service Drug,99,L/100L,,$28.48,39
69097-210,"efavirenz, emtricitabine and tenofovir disoproxil fumarate",Cipla USA Inc.,600; 200; 300,mg/1; mg/1; mg/1,"Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleosides [CS], Nucleosides [CS]",$128.70,84
72789-167,Clindamycin hydrochloride,"PD-Rx Pharmaceuticals, Inc.",300,mg/1,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",$136.25,31
63629-1131,Sodium Fluoride,Bryant Ranch Prepack,0.5,mg/1,,$115.11,4
0187-5198,sulfacetamide sodium,"Bausch Health US, LLC",100,mg/mL,"Sulfonamide Antibacterial [EPC], Sulfonamides [CS]",$122.62,84
44087-3322,INTERFERON BETA-1A,"EMD Serono, Inc.",22,ug/.5mL,"Interferon beta [EPC], Interferon-beta [CS]",$169.40,6
0168-0416,tacrolimus,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,1,mg/g,"Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA]",$14.16,62
70518-2159,Hydroxyzine Hydrochloride,REMEDYREPACK INC.,50,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$64.16,56
47335-031,memantine hydrochloride,"Sun Pharmaceutical Industries, Inc.",7,mg/1,"N-methyl-D-aspartate Receptor Antagonist [EPC], NMDA Receptor Antagonists [MoA]",$114.46,28
71335-2071,Lamotrigine,Bryant Ranch Prepack,150,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$4.15,23
24338-853,Dextroamphetamine Sulfate,"Arbor Pharmaceuticals, Inc.",10,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$55.74,81
63629-2384,phentermine hydrochloride,Bryant Ranch Prepack,30,mg/1,"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]",$3.50,66
57962-560,Ibrutinib,Pharmacyclics LLC,560,mg/1,"Kinase Inhibitor [EPC], Protein Kinase Inhibitors [MoA]",$20.92,14
59572-775,Luspatercept,Celgene Corporation,75,mg/1,,$10.88,32
67457-913,Remifentanil Hydrochloride,Mylan Institutional LLC,1,mg/mL,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$84.19,19
70860-117,nafcillin sodium,"Athenex Pharmaceutical Division, LLC.",2,g/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$114.28,30
47781-384,Oseltamivir Phosphate,Alvogen Inc.,6,mg/mL,"Neuraminidase Inhibitor [EPC], Neuraminidase Inhibitors [MoA]",$64.80,16
60505-4378,paroxetine hydrochloride,Apotex Corp,25,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$27.42,82
0574-0242,REPAGLINIDE,Padagis US LLC,2,mg/1,"Glinide [EPC], Potassium Channel Antagonists [MoA]",$25.88,26
55154-8195,Gabapentin,"Cardinal Health 107, LLC",300,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$97.94,3
55150-112,Ampicillin Sodium,Eugia US LLC,500,mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$119.22,55
62207-355,Ibuprofen,Granules India Limited,600,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$17.16,35
0527-3219,dantrolene sodium,"Lannett Company, Inc.",25,mg/1,"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",$12.38,15
71093-139,Quetiapine,"ACI Healthcare USA, Inc.",400,mg/1,Atypical Antipsychotic [EPC],$142.98,47
31722-147,sertraline hydrochloride,"Camber Pharmaceuticals, Inc.",100,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$6.85,55
68001-172,Carbidopa and Levodopa,BluePoint Laboratories,50; 200,mg/1; mg/1,"Amino Acids, Aromatic [CS], Aromatic Amino Acid [EPC]",$51.48,72
71205-479,Naproxen Sodium,Proficient Rx LP,550,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$38.68,30
50268-542,Metoprolol succinate,AvPAK,100,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$37.69,21
60429-422,Diclofenac Sodium,"Golden State Medical Supply, Inc.",75,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$164.58,96
16714-494,amoxicillin and clavulanate potassium,Northstar RxLLC,500; 125,mg/1; mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$86.18,99
70518-2797,levocetirizine Dihydrochloride,REMEDYREPACK INC.,5,mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",$44.07,36
0003-0852,dasatinib,"E.R. Squibb & Sons, L.L.C.",100,mg/1,"Cytochrome P450 3A4 Inhibitors [MoA], Kinase Inhibitor [EPC], Protein Kinase Inhibitors [MoA]",$24.17,41
24312-003,NITROUS OXIDE,"Airtec Gases, LLC",99,L/100L,,$19.10,90
23155-530,Trospium Chloride,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,20,mg/1,"Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$41.59,16
